family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
beta,0.0,400,paired_t,0.051725,0.0011073563606061,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.6,10,paired_t,0.05065,0.0010964097945111,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,15,paired_t,0.049475,0.0010842880656795,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,20,paired_t,0.04925,0.0010819477517421,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,25,paired_t,0.049425,0.0010837685335785,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,30,paired_t,0.050025,0.0010899827908618,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,40,paired_t,0.050425,0.0010941014506776,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,50,paired_t,0.048075,0.001069623699894,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,75,paired_t,0.048875,0.001078033329436,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,100,paired_t,0.049575,0.001085326211042,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,150,paired_t,0.0511,0.0011010085149534,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,200,paired_t,0.05025,0.0010923018985152,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
beta,0.6,400,paired_t,0.0495,0.0010845477167925,40000,-0.2276883351072847,0.2276883351072847,0.0024494897427831
t3,0.0,10,paired_t,0.046725,0.0010552461131769,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,15,paired_t,0.0486,0.0010751516172149,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,20,paired_t,0.04635,0.0010512097495267,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,25,paired_t,0.048525,0.0010743640488098,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,30,paired_t,0.049225,0.0010816873320766,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,40,paired_t,0.047125,0.0010595309619709,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,50,paired_t,0.0477,0.0010656536726347,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,75,paired_t,0.04855,0.0010746266502837,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,100,paired_t,0.046875,0.0010568554108178,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,150,paired_t,0.04925,0.0010819477517421,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,200,paired_t,0.051075,0.0011007536551722,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.0,400,paired_t,0.048625,0.0010754139827875,40000,0.2920488740566378,0.2920488740566378,0.0024494897427831
t3,0.6,10,paired_t,0.048275,0.0010717336933095,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,15,paired_t,0.046675,0.0010547090164471,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,20,paired_t,0.0461,0.0010485083452219,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,25,paired_t,0.04885,0.0010777717464751,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,30,paired_t,0.04885,0.0010777717464751,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,40,paired_t,0.048425,0.0010733128548447,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,50,paired_t,0.047175,0.0010600650849712,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,75,paired_t,0.047,0.0010581942165784,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,100,paired_t,0.049275,0.001082208094303,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,150,paired_t,0.048,0.0010688311372709,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,200,paired_t,0.05,0.0010897247358851,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
t3,0.6,400,paired_t,0.0481,0.0010698877277546,40000,-0.3026943265199377,0.3026943265199377,0.0024494897427831
mix,0.0,10,paired_t,0.04475,0.0010337726720609,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,15,paired_t,0.0419,0.0010018032491462,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,20,paired_t,0.04285,0.0010125941622881,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,25,paired_t,0.03995,0.0009792088324254,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
