Unnamed: 0,mvbcf_pehe1,mvbcf_pehe2,bcf_pehe1,bcf_pehe2,wsbcf_pehe1,wsbcf_pehe2,bart_pehe1,bart_pehe2,mvbart_pehe1,mvbart_pehe2,mvbcf_tau_951,mvbcf_tau_952,bcf_tau_951,bcf_tau_952,wsbcf_tau_951,wsbcf_tau_952,bart_tau_951,bart_tau_952,mvbart_tau_951,mvbart_tau_952
47,10.570327002489,9.95015375915514,11.2088849970737,12.2524642133651,9.07536212210785,11.5589259197192,11.1873817212169,11.284123564602,12.1013186534652,11.4548551123113,0.928,0.935,0.718,0.801,0.988,0.937,0.924,0.943,0.874,0.9
48,9.46228742230117,10.1763089438932,16.8902531721459,11.116928381872,18.1445477350313,8.48131199154463,14.8521043776143,9.70349190572824,13.6633287481947,11.2296825690706,0.975,0.929,0.858,0.694,0.752,1.0,0.972,0.997,0.975,0.964
49,8.54843373339071,12.9376384342742,8.3641633383092,12.4483901970982,8.2287280040971,14.2418495664471,7.65781603824422,14.6723934472863,8.53299950203159,14.1469694817098,0.985,0.852,0.813,0.904,1.0,0.929,0.998,0.887,0.995,0.941
50,4.04543154224359,10.0036610165842,7.92478435141888,16.7290100925457,6.64786045003054,9.67080577945039,7.03589237776805,15.9211211753458,8.89201591107076,11.9283710077867,1.0,1.0,0.999,0.934,1.0,1.0,1.0,0.943,1.0,0.998
51,11.5967378297839,15.1378865274289,13.2592833413842,14.2467330277474,11.1534778239936,11.8252029156858,14.364150003499,15.02799715267,13.8635395296563,15.9690749148198,0.898,0.785,0.692,0.534,0.994,0.985,0.929,0.948,0.95,0.921
52,11.6942928555592,10.0736472964168,12.993860016337,10.7786254751448,12.0364525079043,9.57761709614866,11.0692118827675,8.95228338327059,12.4853719367416,10.3254513979342,0.835,0.928,0.748,0.945,0.973,0.993,0.989,1.0,0.963,0.991
53,9.32454622214546,7.17756755462877,17.8517087566277,9.72681973009803,18.2973978443844,8.53441734811594,11.2216753395084,9.28121984204982,14.6474921894072,8.3058386476805,0.992,0.998,0.51,0.69,0.694,1.0,1.0,1.0,0.949,1.0
54,10.506445668941,8.2888203215956,13.244841197312,10.3519097648069,13.4294402663885,10.3438487264409,12.9226790777085,11.3347449382679,12.6284185043743,10.7824079884779,0.966,0.999,0.926,0.81,0.975,0.974,0.984,0.998,0.99,0.998
55,10.9189269688031,8.85990664415005,9.26584134369055,11.4462277434853,9.96547814352897,8.96004934844625,13.047720688081,11.525790107139,13.921960269726,13.3831798768907,0.871,0.959,0.74,0.988,0.964,1.0,0.944,0.994,0.933,0.951
56,10.2639106283077,8.75550480919796,13.3143520040647,10.1256649264793,11.4870992684982,9.2004327952141,9.93183270607068,9.72999379416784,8.68657749878082,10.168028411852,0.984,0.995,0.806,0.963,0.952,1.0,0.999,1.0,1.0,0.999
57,6.96845227451905,9.63991134381791,11.6032584565287,9.93226385694481,8.75962857616965,11.4175728355144,7.74774236172069,9.87057364762336,7.7453891707119,9.45231459324941,0.999,0.915,0.848,0.824,0.979,0.908,1.0,0.999,1.0,0.998
58,7.95892543001712,4.84200581735747,9.44129280440755,6.58358433740994,8.10250655205476,7.0981813721003,8.09444598155833,7.45903943832257,8.63862487728068,6.78854474340576,1.0,1.0,0.967,1.0,1.0,1.0,1.0,1.0,0.999,1.0
59,10.1136324356467,8.96511361179638,10.1159127958451,10.9020781624576,10.5985014859237,8.94883173491638,11.9118326415969,10.4560622570236,13.1551618798909,10.392057366427,0.978,0.948,0.971,0.772,0.992,0.996,0.988,0.98,0.978,0.996
60,10.7006188354118,6.269159778004,15.1139807348476,9.87301482669168,15.2859121789641,9.07142713965529,14.0216472995925,9.23519745189886,15.5653895040828,6.3235702132174,0.998,1.0,0.607,0.878,0.997,1.0,1.0,1.0,0.979,1.0
61,7.32782092823042,6.66250628469531,9.4370807081952,9.31566986199153,8.84066243444191,8.66376331923805,11.0266949212647,7.80924229045001,10.9549070373395,8.21013897667968,0.999,1.0,0.977,0.982,1.0,1.0,0.977,1.0,0.995,1.0
62,8.14789698583353,8.28331804468138,8.58927077058903,10.3592025276413,8.82535865697283,9.64391440165447,8.45506897865587,10.4080469528323,9.19931661575573,10.0685376586657,0.977,0.998,0.988,0.81,1.0,0.998,1.0,1.0,1.0,1.0
63,7.24675897343954,15.9669833218367,9.49662288874326,19.050847628275,9.48170650032873,20.5594039441306,8.18790907148998,17.6927026059404,10.6707740834723,19.613238116379,0.999,0.694,0.935,0.369,0.994,0.413,1.0,0.814,0.989,0.759
