cell_id,module,family,K,rho,seed,extension,covariance_source,declared_parameters,contrast_map,declared_loss_covariance,implied_sigma_D,implied_corr_D,min_eigenvalue,loss_min_eigenvalue,diagnostic_n,diagnostic_seed,achieved_empirical_cov_D,achieved_empirical_corr_D,exact_contrast_mapping,shared_control_column,repeated_benchmark_columns,empirical_extension_is_synthetic
B_0010,B_joint,normal,1,0.0,400010,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,8.473311149416194e+18,[[1.983459185795774]],[[1.0]],True,True,False,False
B_0011,B_joint,normal,1,0.0,400011,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,4.832187775003215e+18,[[2.004303680837439]],[[1.0]],True,True,False,False
B_0012,B_joint,empirical_copula,1,0.0,400012,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,2.584186465432081e+18,[[1.9734442517411994]],[[1.0]],True,True,False,False
B_0013,B_joint,empirical_copula,1,0.0,400013,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,8.822815089960177e+18,[[2.0424297672330276]],[[1.0]],True,True,False,False
B_0014,B_joint,empirical_copula,1,0.0,400014,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,7.655531841977874e+18,[[2.0034489514000864]],[[1.0]],True,True,False,False
B_0015,B_joint,empirical_copula,1,0.0,400015,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,1.3316790657180942e+19,[[1.9487484286982213]],[[1.0]],True,True,False,False
B_0016,B_joint,normal,1,0.3,400016,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.3],[0.3,1.0]]",[[1.4]],[[1.0]],1.4,0.7,10000,1.5925695721976089e+19,[[1.4222288737211881]],[[1.0]],True,True,False,False
B_0017,B_joint,normal,1,0.3,400017,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.3],[0.3,1.0]]",[[1.4]],[[1.0]],1.4,0.7,10000,2.665949509335288e+18,[[1.3789153025020626]],[[1.0]],True,True,False,False
B_0018,B_joint,normal,1,0.3,400018,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.3],[0.3,1.0]]",[[1.4]],[[1.0]],1.4,0.7,10000,1.4192631433290007e+18,[[1.389689415597097]],[[1.0]],True,True,False,False
B_0019,B_joint,normal,1,0.3,400019,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.3],[0.3,1.0]]",[[1.4]],[[1.0]],1.4,0.7,10000,1.4458630509444565e+19,[[1.4237898425942093]],[[1.0]],True,True,False,False
B_0020,B_joint,empirical_copula,1,0.3,400020,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6316941061178746,0.26003313253040466],[0.26003313253040466,1.3856373055931426]]",[[1.4972651466502078]],[[1.0]],1.4972651466502078,0.5507084840297949,10000,4.218265099948264e+18,[[1.4837206885045742]],[[1.0]],True,True,False,False
B_0021,B_joint,empirical_copula,1,0.3,400021,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6316941061178746,0.26003313253040466],[0.26003313253040466,1.3856373055931426]]",[[1.4972651466502078]],[[1.0]],1.4972651466502078,0.5507084840297949,10000,1.7976350080042822e+19,[[1.4904254229704688]],[[1.0]],True,True,False,False
B_0022,B_joint,empirical_copula,1,0.3,400022,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6316941061178746,0.26003313253040466],[0.26003313253040466,1.3856373055931426]]",[[1.4972651466502078]],[[1.0]],1.4972651466502078,0.5507084840297949,10000,7.627926665184342e+18,[[1.5177487181431446]],[[1.0]],True,True,False,False
B_0023,B_joint,empirical_copula,1,0.3,400023,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6316941061178746,0.26003313253040466],[0.26003313253040466,1.3856373055931426]]",[[1.4972651466502078]],[[1.0]],1.4972651466502078,0.5507084840297949,10000,1.3257133602748578e+19,[[1.4857850704491524]],[[1.0]],True,True,False,False
B_0024,B_joint,normal,1,0.6,400024,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.5371770748175675e+19,[[0.8072101267867715]],[[1.0]],True,True,False,False
B_0025,B_joint,normal,1,0.6,400025,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,5.889863330322756e+18,[[0.7958776844357194]],[[1.0]],True,True,False,False
B_0026,B_joint,normal,1,0.6,400026,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,2.813145352169699e+18,[[0.7933881977488435]],[[1.0]],True,True,False,False
B_0027,B_joint,normal,1,0.6,400027,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.6474208142177974e+19,[[0.8026432708096441]],[[1.0]],True,True,False,False
B_0028,B_joint,empirical_copula,1,0.6,400028,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6295616969974646,0.5290641003150321],[0.5290641003150321,1.3650364692110666]]",[[0.9364699655784668]],[[1.0]],0.9364699655784668,0.3529857995357698,10000,2.844767218226425e+18,[[0.9133802901515747]],[[1.0]],True,True,False,False
B_0029,B_joint,empirical_copula,1,0.6,400029,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6295616969974646,0.5290641003150321],[0.5290641003150321,1.3650364692110666]]",[[0.9364699655784668]],[[1.0]],0.9364699655784668,0.3529857995357698,10000,1.5554723621441386e+19,[[0.9196157994981708]],[[1.0]],True,True,False,False
B_0030,B_joint,empirical_copula,1,0.6,400030,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6295616969974646,0.5290641003150321],[0.5290641003150321,1.3650364692110666]]",[[0.9364699655784668]],[[1.0]],0.9364699655784668,0.3529857995357698,10000,9.867140201709085e+18,[[0.9696237951568709]],[[1.0]],True,True,False,False
B_0031,B_joint,empirical_copula,1,0.6,400031,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6295616969974646,0.5290641003150321],[0.5290641003150321,1.3650364692110666]]",[[0.9364699655784668]],[[1.0]],0.9364699655784668,0.3529857995357698,10000,1.327388098818131e+19,[[0.9580008809856742]],[[1.0]],True,True,False,False
B_0032,B_joint,normal,1,0.9,400032,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.9],[0.9,1.0]]",[[0.19999999999999996]],[[1.0]],0.1999999999999999,0.0999999999999999,10000,1.8283314440262451e+19,[[0.19437183659453536]],[[1.0]],True,True,False,False
B_0033,B_joint,normal,1,0.9,400033,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.9],[0.9,1.0]]",[[0.19999999999999996]],[[1.0]],0.1999999999999999,0.0999999999999999,10000,6.774129407492746e+17,[[0.20185451443384725]],[[1.0]],True,True,False,False
B_0034,B_joint,normal,1,0.9,400034,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.9],[0.9,1.0]]",[[0.19999999999999996]],[[1.0]],0.1999999999999999,0.0999999999999999,10000,1.3224547489310624e+19,[[0.19896541421703606]],[[1.0]],True,True,False,False
B_0035,B_joint,normal,1,0.9,400035,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.9],[0.9,1.0]]",[[0.19999999999999996]],[[1.0]],0.1999999999999999,0.0999999999999999,10000,8.936057533239078e+18,[[0.20042383673490105]],[[1.0]],True,True,False,False
B_0036,B_joint,empirical_copula,1,0.9,400036,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6179539260569424,0.8049262262502753],[0.8049262262502753,1.3625189581478487]]",[[0.3706204317042405]],[[1.0]],0.3706204317042405,0.1033878070701018,10000,3.780836928107251e+18,[[0.37099366936601846]],[[1.0]],True,True,False,False
B_0037,B_joint,empirical_copula,1,0.9,400037,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6179539260569424,0.8049262262502753],[0.8049262262502753,1.3625189581478487]]",[[0.3706204317042405]],[[1.0]],0.3706204317042405,0.1033878070701018,10000,1.2512704321613982e+19,[[0.37506799540200064]],[[1.0]],True,True,False,False
B_0038,B_joint,empirical_copula,1,0.9,400038,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6179539260569424,0.8049262262502753],[0.8049262262502753,1.3625189581478487]]",[[0.3706204317042405]],[[1.0]],0.3706204317042405,0.1033878070701018,10000,5.414907123372801e+18,[[0.3785379295885402]],[[1.0]],True,True,False,False
B_0039,B_joint,empirical_copula,1,0.9,400039,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.9,""rho_latent"":0.9,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6179539260569424,0.8049262262502753],[0.8049262262502753,1.3625189581478487]]",[[0.3706204317042405]],[[1.0]],0.3706204317042405,0.1033878070701018,10000,2.496549953649426e+18,[[0.3710736142605024]],[[1.0]],True,True,False,False
B_0040,B_joint,normal,1,-0.3,400040,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,7.725786058460529e+18,[[2.601751641623605]],[[1.0]],True,True,False,False
B_0041,B_joint,normal,1,-0.3,400041,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,1.1691057129784543e+19,[[2.6514009610847276]],[[1.0]],True,True,False,False
B_0042,B_joint,normal,1,-0.3,400042,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,1.973461565356675e+17,[[2.6341670478786074]],[[1.0]],True,True,False,False
B_0043,B_joint,normal,1,-0.3,400043,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,1.586742773993707e+19,[[2.6248857547794984]],[[1.0]],True,True,False,False
B_0044,B_joint,empirical_copula,1,-0.3,400044,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,1.3546586153545282e+19,[[2.4664556475207444]],[[1.0]],True,True,False,False
B_0045,B_joint,empirical_copula,1,-0.3,400045,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,1.4955673449799307e+19,[[2.470882328442638]],[[1.0]],True,True,False,False
B_0046,B_joint,empirical_copula,1,-0.3,400046,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,1.5800499583836338e+19,[[2.4510839586255058]],[[1.0]],True,True,False,False
B_0047,B_joint,empirical_copula,1,-0.3,400047,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,5.619075494565366e+18,[[2.5010106471104665]],[[1.0]],True,True,False,False
B_0048,B_joint,normal,1,0.0,400048,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,7.473301272518027e+18,[[1.9992932325874433]],[[1.0]],True,True,False,False
B_0049,B_joint,normal,1,0.0,400049,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,1.2095246333254513e+19,[[1.9592214001135537]],[[1.0]],True,True,False,False
B_0050,B_joint,normal,1,0.0,400050,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,1.273230481375974e+18,[[2.038056532802433]],[[1.0]],True,True,False,False
B_0051,B_joint,normal,1,0.0,400051,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,1.8169888348344168e+19,[[2.0173141470277485]],[[1.0]],True,True,False,False
B_0052,B_joint,empirical_copula,1,0.0,400052,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,6.362604837036487e+18,[[2.030686768376833]],[[1.0]],True,True,False,False
B_0053,B_joint,empirical_copula,1,0.0,400053,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,2.97260799937277e+18,[[2.003338270986725]],[[1.0]],True,True,False,False
B_0054,B_joint,empirical_copula,1,0.0,400054,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,1.714964058383794e+19,[[1.992363042866754]],[[1.0]],True,True,False,False
B_0055,B_joint,empirical_copula,1,0.0,400055,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6366783277253547,0.0004182262877964724],[0.0004182262877964724,1.386330381681218]]",[[2.02217225683098]],[[1.0]],2.02217225683098,0.6366780943995439,10000,6.961046936966187e+18,[[1.976254841259216]],[[1.0]],True,True,False,False
B_0056,B_joint,normal,1,0.3,400056,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.3],[0.3,1.0]]",[[1.4]],[[1.0]],1.4,0.7,10000,2.754371137379071e+18,[[1.4124412590158844]],[[1.0]],True,True,False,False
B_0057,B_joint,normal,1,0.3,400057,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.3,""rho_latent"":0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.3],[0.3,1.0]]",[[1.4]],[[1.0]],1.4,0.7,10000,5.322209842451098e+18,[[1.3918033977399278]],[[1.0]],True,True,False,False
