cell_id,module,family,K,correction,rho,theta,design,R,J0,Jmax,alpha,alpha_adj,marginal_level_or_power,marginal_mcse,fwer,fwer_mcse,conjunctive_power,conjunctive_power_mcse,disjunctive_power,disjunctive_power_mcse,fdr,fdr_mcse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,ci_coverage,bias,rmse,mean_wall,seed,theta_vector,marginal_estimand,marginal_by_contrast,marginal_mcse_by_contrast,mean_fdp,ci_coverage_mcse,bootstrap_B,benchmark_residual_corr,n_true_alternatives,n_true_nulls,planning_target_met_all,marginal_contrast_1,marginal_contrast_1_mcse,marginal_contrast_2,marginal_contrast_2_mcse,marginal_contrast_3,marginal_contrast_3_mcse,marginal_contrast_4,marginal_contrast_4_mcse,marginal_contrast_5,marginal_contrast_5_mcse,marginal_contrast_6,marginal_contrast_6_mcse,cell_index,module_cell,theta_mult,B,alpha_plan,alpha_note,source_module,projected_R
B_0611,B_joint,empirical,1,holm,,0.5,D4,2000,50,1000,0.05,0.05,0.8015,0.008919017602852906,,,0.8015,0.008919017602852906,0.8015,0.008919017602852906,,,34.7575,10.329505978022375,20.0,34.0,54.0,0.0,0.944,-0.0016328267394534138,0.16006208227412297,0.0002558362069994473,400611,[0.5],power,[0.8015],[0.008919017602852906],,0.005141206084179083,999,0.0,1,0,1.0,0.8015,0.008919017602852906,,,,,,,,,,,611,B,1.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0612,B_joint,empirical,1,bh,,0.0,D3,2000,50,1000,0.05,0.05,0.0065,0.0017969070649312946,0.0065,0.0017969070649312946,,,,,0.0065,0.0017969070649312946,65.5865,15.681342982984589,42.0,65.0,94.0,0.0,0.961,0.007363879672532443,0.11822688421719739,0.00024350199649961722,400612,[0.0],level,[0.0065],[0.0017969070649312946],0.0065,0.004328914413568374,999,0.0,0,1,1.0,0.0065,0.0017969070649312946,,,,,,,,,,,612,B,0.0,999,0.05,BH: plan at alpha*r/K with r = 1 pre-declared expected rejections (r = 1 reduces to Bonferroni).,B,2000
B_0613,B_joint,empirical,1,bh,,0.0,D4,2000,50,1000,0.05,0.05,0.067,0.005590661857061291,0.067,0.005590661857061291,,,,,0.067,0.005590661857061291,35.5955,10.86015100033144,20.0,34.0,55.0,0.0,0.933,0.0006632101943684829,0.16316508711858038,0.00025441711849998684,400613,[0.0],level,[0.067],[0.005590661857061291],0.067,0.0055906618570612885,999,0.0,0,1,1.0,0.067,0.005590661857061291,,,,,,,,,,,613,B,0.0,999,0.05,BH: plan at alpha*r/K with r = 1 pre-declared expected rejections (r = 1 reduces to Bonferroni).,B,2000
B_0614,B_joint,empirical,1,bh,,0.5,D3,2000,50,1000,0.05,0.05,0.9175,0.0061519813881382975,,,0.9175,0.0061519813881382975,0.9175,0.0061519813881382975,0.0,0.0,65.1675,15.520484649327159,43.0,63.0,93.0,0.0,0.959,0.010956703131843621,0.11755325441011405,0.00024067955350074043,400614,[0.5],power,[0.9175],[0.0061519813881382975],0.0,0.00443390347211123,999,0.0,1,0,1.0,0.9175,0.0061519813881382975,,,,,,,,,,,614,B,1.0,999,0.05,BH: plan at alpha*r/K with r = 1 pre-declared expected rejections (r = 1 reduces to Bonferroni).,B,2000
B_0615,B_joint,empirical,1,bh,,0.5,D4,2000,50,1000,0.05,0.05,0.807,0.008824709626950906,,,0.807,0.008824709626950906,0.807,0.008824709626950906,0.0,0.0,35.5125,10.519688386544537,21.0,34.0,56.0,0.0,0.9335,-0.0042687924828117485,0.16588142142201884,0.0002161492070008535,400615,[0.5],power,[0.807],[0.008824709626950906],0.0,0.005571254347092763,999,0.0,1,0,1.0,0.807,0.008824709626950906,,,,,,,,,,,615,B,1.0,999,0.05,BH: plan at alpha*r/K with r = 1 pre-declared expected rejections (r = 1 reduces to Bonferroni).,B,2000
B_0616,B_joint,empirical,1,romano_wolf,,0.0,D3,2000,50,1000,0.05,0.05,0.0035,0.0013205585939290994,0.0035,0.0013205585939290994,,,,,,,64.8895,14.948287184490402,43.0,64.0,91.0,0.0,0.9615,0.008593451699910134,0.11416200096131732,0.00021848388150101528,400616,[0.0],level,[0.0035],[0.0013205585939290994],,0.004302194207610808,999,0.0,0,1,1.0,0.0035,0.0013205585939290994,,,,,,,,,,,616,B,0.0,999,0.05,Romano-Wolf power is planned by simulation from Sigma_D (§4.4); use this alpha at the stepdown.,B,2000
B_0617,B_joint,empirical,1,romano_wolf,,0.0,D4,2000,50,1000,0.05,0.05,0.068,0.005629209535982827,0.068,0.005629209535982827,,,,,,,35.4795,10.535301597486423,20.0,34.0,54.0,0.0,0.932,0.0016923305595182023,0.1606342285084768,0.00020938948649927623,400617,[0.0],level,[0.068],[0.005629209535982827],,0.005629209535982825,999,0.0,0,1,1.0,0.068,0.005629209535982827,,,,,,,,,,,617,B,0.0,999,0.05,Romano-Wolf power is planned by simulation from Sigma_D (§4.4); use this alpha at the stepdown.,B,2000
B_0618,B_joint,empirical,1,romano_wolf,,0.5,D3,2000,50,1000,0.05,0.05,0.9185,0.006117914268768402,,,0.9185,0.006117914268768402,0.9185,0.006117914268768402,,,65.1435,15.028968951661321,43.0,64.0,92.0,0.0,0.9715,0.005503202732257779,0.11412654143226683,0.00019727412149950398,400618,[0.5],power,[0.9185],[0.006117914268768402],,0.003720735814324901,999,0.0,1,0,1.0,0.9185,0.006117914268768402,,,,,,,,,,,618,B,1.0,999,0.05,Romano-Wolf power is planned by simulation from Sigma_D (§4.4); use this alpha at the stepdown.,B,2000
B_0619,B_joint,empirical,1,romano_wolf,,0.5,D4,2000,50,1000,0.05,0.05,0.8025,0.00890207138816579,,,0.8025,0.00890207138816579,0.8025,0.00890207138816579,,,34.8915,10.259518884918531,20.0,34.0,54.0,0.0,0.934,0.0033224616148050043,0.16491997311691378,0.00020268949949968373,400619,[0.5],power,[0.8025],[0.00890207138816579],,0.005551756478809205,999,0.0,1,0,1.0,0.8025,0.00890207138816579,,,,,,,,,,,619,B,1.0,999,0.05,Romano-Wolf power is planned by simulation from Sigma_D (§4.4); use this alpha at the stepdown.,B,2000
B_0620,B_joint,empirical,3,none,,0.0,D3,2000,50,1000,0.05,0.05,0.0045000000000000005,0.0014966211945579284,0.0135,0.0025804796065847916,,,,,,,73.741,14.39874713299737,53.0,72.0,100.0,0.0,0.9648333333333333,-0.0010166482166999939,0.10789090796095185,0.0006343540760008182,400620,"[0.0,0.0,0.0]",level,"[0.005,0.0035,0.005]","[0.0015771810295587506,0.0013205585939290994,0.0015771810295587506]",,0.004118857379311782,999,0.0,0,3,1.0,0.005,0.0015771810295587506,0.0035,0.0013205585939290994,0.005,0.0015771810295587506,,,,,,,620,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
