dgp,contrast,label,J0,sd_tau,delta,target_mcse,sd_pilot,sigma_ub,inflation,J_precision,J_power,J_contrast,J_final,capped_at_J_max,n
2,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.1166405481996324,1.1911277892172323,1.0667065522004338,9,8,9,15,0,500
2,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,0.7606525367296726,0.8113930448774228,1.0667065522004338,4,5,5,15,0,500
2,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.3733669674829458,1.4649795427896983,1.0667065522004338,13,10,13,15,0,500
2,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.6172196018286704,1.7250987456176192,1.0667065522004338,15,11,15,15,0,500
2,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.250566302815955,1.3339872691748509,1.0667065522004338,11,9,11,15,0,500
2,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.4061061851108954,1.4999026807473481,1.0667065522004338,11,9,11,15,0,500
2,C1,"MVBCF vs BCF, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.1935145806157594,1.3122415995972372,1.0994768064921536,11,9,11,17,0,500
2,C2,"MVBCF vs BCF, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,0.7269535490274459,0.7992685665528335,1.0994768064921536,4,5,5,17,0,500
2,C3,"MVBCF vs BART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.4698128047080616,1.6160250886616951,1.0994768064921536,16,12,16,17,0,500
2,C4,"MVBCF vs BART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,1.5694492691487347,1.7255730703950953,1.0994768064921536,15,11,15,17,0,500
2,C5,"MVBCF vs MVBART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.4861216930671923,1.633956333152229,1.0994768064921536,17,12,17,17,0,500
2,C6,"MVBCF vs MVBART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,1.0736910791716006,1.1804984388867055,1.0994768064921536,7,7,7,17,0,500
2,C1,"MVBCF vs BCF, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.1521016326998592,1.3280543432043685,1.152723254190846,11,9,11,19,0,500
2,C2,"MVBCF vs BCF, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,0.7530745287446216,0.868086521422738,1.152723254190846,4,6,6,19,0,500
2,C3,"MVBCF vs BART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.4838332454956542,1.7104490874243152,1.152723254190846,18,13,18,19,0,500
2,C4,"MVBCF vs BART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,1.7058533305892214,1.9663768024091004,1.152723254190846,19,13,19,19,0,500
2,C5,"MVBCF vs MVBART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.5398672089058563,1.775040740071734,1.152723254190846,19,13,19,19,0,500
2,C6,"MVBCF vs MVBART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,1.1099346900410416,1.2794475278434176,1.152723254190846,8,8,8,19,0,500
3,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.4495262133154188,1.5462191093298407,1.0667065522004338,15,11,15,34,0,500
3,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.1285255928856517,1.2038056442570038,1.0667065522004338,7,7,7,34,0,500
3,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,2.228157718388545,2.37679043754103,1.0667065522004338,34,20,34,34,0,500
3,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.1553123510200716,2.2990858068716316,1.0667065522004338,26,16,26,34,0,500
