reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,sigma_ratio,cell_id,module,projected_R,bootstrap_B
0.0544,0.0544,0.9456,-0.0022374675152338846,-0.0022374675152338846,0.18070582791572307,65.1328,12.751939623445525,46.0,64.0,88.0,0.0,0.0,0.00020791339874267579,normal,0.0,1.0,1.0,0.0,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100024,5000,0.0032075111847038036,0.003207511184703804,0.0,A,0.0,50,1.0,A_0024,A,5000,50
0.0592,0.0592,0.9408,-0.001150537091701689,-0.001150537091701689,0.16331593332808775,80.1796,14.560746678656283,56.0,79.0,105.0,0.0,0.0,0.0003421722412109375,normal,0.0,1.0,1.0,0.0,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100025,5000,0.0033375248313683003,0.0033375248313683007,0.0,A,0.0,50,1.0,A_0025,A,5000,50
0.053,0.053,0.8384,-0.0024974074291363862,-0.0024974074291363862,0.17600076751293622,65.4136,8.955609138411525,51.0,65.0,81.0,0.0,0.0,0.00015267152786254884,normal,0.0,1.0,1.0,0.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100026,5000,0.003168311853337673,0.00520548633654916,0.0,A,0.0,50,1.0,A_0026,A,5000,50
0.045,0.045,0.955,-0.0005200195849044091,-0.0005200195849044091,0.16198671975810797,78.4926,15.437329601974561,55.0,78.0,105.05000000000018,0.0,0.0,0.0001486095905303955,normal,0.0,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100027,5000,0.0029317230428538097,0.0029317230428538106,0.0,A,0.0,50,1.0,A_0027,A,5000,50
0.052,0.052,0.948,-0.00016534349958843188,-0.00016534349958843188,0.05189828947588819,787.7544,139.55721866188077,556.0,787.0,1000.0,0.0,0.111,9.319415092468261e-05,normal,0.0,1.0,1.0,0.0,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100028,5000,0.003139936305086458,0.00313993630508646,0.0,A,0.0,50,1.0,A_0028,A,5000,50
0.0484,0.0484,0.9516,0.0031208623913514025,0.0031208623913514025,0.17402080782554438,65.0,0.0,65.0,65.0,65.0,0.0,0.0,6.442384719848632e-05,normal,0.0,1.0,1.0,0.0,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100029,5000,0.0030350433275325743,0.0030350433275325743,0.0,A,0.0,50,1.0,A_0029,A,5000,50
0.291,0.291,0.9522,0.25015126362891044,0.00015126362891043632,0.17872971614249014,65.1694,12.784158307843345,46.0,64.0,88.0,0.0,0.0,0.00014512109756469727,normal,0.0,1.0,1.0,0.25,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100030,5000,0.006423690528037602,0.0030171231330524103,0.0,A,0.5,50,1.0,A_0030,A,5000,50
0.3456,0.3456,0.9442,0.24958194270312598,-0.0004180572968740248,0.16034472992076418,80.2896,14.379642966360466,57.0,80.0,105.0,0.0,0.0,0.0003352537155151367,normal,0.0,1.0,1.0,0.25,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100031,5000,0.006725483477044606,0.0032461164489278557,0.0,A,0.5,50,1.0,A_0031,A,5000,50
0.298,0.298,0.8248,0.24853304341475688,-0.0014669565852431232,0.18031271188382944,65.5104,8.825434371179698,51.0,65.0,81.0,0.0,0.0,0.00014757471084594727,normal,0.0,1.0,1.0,0.25,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100032,5000,0.006468322811981479,0.005375964285595655,0.0,A,0.5,50,1.0,A_0032,A,5000,50
0.335,0.335,0.9498,0.25068424788832244,0.0006842478883224423,0.16221542675782785,78.4352,15.110572489485632,55.0,77.0,104.05000000000018,0.0,0.0,0.0001424078941345215,normal,0.0,1.0,1.0,0.25,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100033,5000,0.006674953183356419,0.003088040155179334,0.0,A,0.5,50,1.0,A_0033,A,5000,50
0.9948,0.9948,0.9452,0.24997052726793653,-2.947273206346801e-05,0.051630453401010454,790.3668,141.1824842456032,556.0,790.0,1000.0,0.0,0.1168,7.87975311279297e-05,normal,0.0,1.0,1.0,0.25,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100034,5000,0.001017148956643026,0.003218600938296016,0.0,A,0.5,50,1.0,A_0034,A,5000,50
0.2876,0.2876,0.948,0.250297731720087,0.0002977317200870133,0.17582140196155818,65.0,0.0,65.0,65.0,65.0,0.0,0.0,6.257896423339843e-05,normal,0.0,1.0,1.0,0.25,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100035,5000,0.006401347358173903,0.00313993630508646,0.0,A,0.5,50,1.0,A_0035,A,5000,50
0.7884,0.7884,0.9538,0.49718912070473054,-0.002810879295269464,0.17570800976619969,65.1458,12.97071094273556,46.0,64.0,88.0,0.0,0.0,0.00014490265846252442,normal,0.0,1.0,1.0,0.5,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100036,5000,0.005776252072061953,0.002968688599365047,0.0,A,1.0,50,1.0,A_0036,A,5000,50
0.883,0.883,0.9438,0.5007273715742742,0.0007273715742741604,0.16308813287289098,80.382,14.804258711600525,56.0,80.0,106.0,0.0,0.0,0.0003684310436248779,normal,0.0,1.0,1.0,0.5,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100037,5000,0.004545569271279451,0.0032570403743275894,0.0,A,1.0,50,1.0,A_0037,A,5000,50
0.8148,0.8148,0.8346,0.5029569018719314,0.0029569018719314277,0.17677174718589647,65.15,8.792604847256586,51.0,65.0,81.0,0.0,0.0,0.000212835693359375,normal,0.0,1.0,1.0,0.5,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100038,5000,0.00549365015267627,0.00525438559681339,0.0,A,1.0,50,1.0,A_0038,A,5000,50
0.8596,0.8596,0.956,0.5009355590730997,0.0009355590730997232,0.15925828281026194,77.7718,15.21816430322659,55.0,77.0,104.0,0.0,0.0,0.00014366726875305176,normal,0.0,1.0,1.0,0.5,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100039,5000,0.004912999898229187,0.002900482718445329,0.0,A,1.0,50,1.0,A_0039,A,5000,50
